sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2016 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"MPI rank:0"

"ID","Function Call Sites and Loops","","Vector Issues","Self Time","Elapsed Time","Total Time","Type","FLOPS And AVX-512 Mask Usage","GFLOPS","AI","Mask Utilization","L1 GB/s","GFLOP","FLOP Per Iteration","L1 GB","L1 Bytes Per Iteration","Why No Vectorization?","Vectorized Loops","Vector ISA","Efficiency","Gain Estimate","VL (Vector Length)","Compiler Estimated Gain","Trip Counts","Trip Counts Median","Trip Counts Min","Trip Counts Max","Trip Counts Call Count","Trip Counts Iteration Duration","Instruction Set Analysis","Traits","Data Types","Number of Vector Registers","Vector Widths","Instruction Sets","Advanced","Transformations","Unroll Factor","Vectorization Details","Optimization Details","Location","Source Location","Module"
"","[loop in for_open]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for_open]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for_open]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__set_terminator_option]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__open_default]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","","","","","","","","","Float32","1","128","SSE","","","","","","","","xgc2"
"","[loop in for_read_seq_fmt]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","","","","","","","","","Float32","1","128","SSE","","","","","","","","xgc2"
"","[loop in for_read_seq_fmt_xmit]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for_read_seq_fmt_xmit]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","","","","","","","","","Float64; Int32","2","128","SSE2","","","","","","","","xgc2"
"","[loop in for_read_seq_fmt_xmit]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for_read_seq_fmt_xmit]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","","","","","","","","","Int32","1","128","SSE2","","","","","","","","xgc2"
"","[loop in for_read_seq_fmt_xmit]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for_read_seq_fmt_xmit]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for_read_seq_fmt_xmit]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in rs_get_field]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for_read_seq_nml]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for_read_seq_nml]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","0.0007","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for_read_seq_nml]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for_read_seq_nml]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in do_nml_copy]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in do_nml_copy]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__nml_lex]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","0.0003","","","","","","","","","","","","","","","","","Float32","1","128","SSE","","","","","","","","xgc2"
"","[loop in for__nml_lex]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__nml_lex]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__nml_lex]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__nml_lex]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","0.0003","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__nml_lex]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in process_nondelim_char]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for_write_int_fmt]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","","","","","","","","","Float32","1","128","SSE","","","","","","","","xgc2"
"","[loop in for_write_int_fmt_xmit]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","Divisions","Divisions","Int8","2","128","SSE2","","","","","","","","xgc2"
"","[loop in for_write_seq_fmt]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","","","","","","","","","Float32","1","128","SSE","","","","","","","","xgc2"
"","[loop in for_write_seq_fmt_xmit]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for_write_seq_fmt_xmit]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","","","","","","","","","Float64; Int32","2","128","SSE2","","","","","","","","xgc2"
"","[loop in for_write_seq_fmt_xmit]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for_write_seq_fmt_xmit]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","","","","","","","","","Int32","1","128","SSE2","","","","","","","","xgc2"
"","[loop in for_write_seq_fmt_xmit]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for_write_seq_fmt_xmit]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for_write_seq_fmt_xmit]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for_write_seq_lis_xmit]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","","","","","","","","","Float32","1","128","SSE","","","","","","","","xgc2"
"","[loop in for_write_seq_lis_xmit]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","Divisions","Divisions","","2","","","","","","","","","","xgc2"
"","[loop in for_write_seq_lis_xmit]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","Int8","1","128","SSE2","","","","","","","","xgc2"
"","[loop in for_write_seq_lis_xmit]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for_write_seq_nml]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","","","","","","","","","Float32","1","128","SSE","","","","","","","","xgc2"
"","[loop in for_write_seq_nml]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for_write_seq_nml]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__proc_nlist_element]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","Float32","1","128","SSE","","","","","","","","xgc2"
"","[loop in for_adjustl]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for_adjustl]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__aio_acquire_lun]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__compute_filename]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__compute_filename]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__compute_filename]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__compute_filename]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__compute_filename]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__compute_filename]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__compute_filename]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__compute_filename]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__compute_filename]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__compute_filename]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__compute_filename]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__compute_filename]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__compute_filename]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__compute_filename]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__compute_filename]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__open_proc]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__open_proc]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","Divisions","Divisions","Float32; Int8","1","128","SSE; SSE2","","","","","","","","xgc2"
"","[loop in for__open_proc]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__default_io_sizes_env_init]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__format_value]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in for__cvt_value]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in cvt_integer_to_text]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","Int32","1","128","SSE2","","","","","","","","xgc2"
"","[loop in cvt_integer64_to_text]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","Int32","1","128","SSE2","","","","","","","","xgc2"
"","[loop in cvt_boolean_to_text_ex]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","Int32","1","128","SSE2","","","","","","","","xgc2"
"","[loop in cvt_text_to_boolean]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in cvtas_a_to_t]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","0.0129","","","","","","","","","","","","","","","","","Float32","1","128","SSE","","","","","","","","xgc2"
"","[loop in cvtas_a_to_t]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in cvtas_a_to_t]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","0.0129","","","","","","","","","","","","","","","","","Float32","1","128","SSE","","","","","","","","xgc2"
"","[loop in cvtas_a_to_t]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in cvtas_a_to_t]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","Int32","1","128","SSE2","","","","","","","","xgc2"
"","[loop in cvtas_a_to_t]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","0.0016","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in cvtas_a_to_t]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in cvtas_a_to_t]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in cvtas_a_to_t]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","0.0006","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in cvtas_a_to_t]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","0.0006","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","1","","","","","","","","","","xgc2"
"","[loop in cvtas_a_to_t]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","0.0009","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in cvtas_a_to_t]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in cvtas_a_to_t]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in cvtas_s_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in cvtas_s_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","Float32","1","128","SSE","","","","","","","","xgc2"
"","[loop in cvtas_s_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","Float32","1","128","SSE","","","","","","","","xgc2"
"","[loop in cvtas_s_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in cvtas_t_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in cvtas_t_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","Float32","1","128","SSE","","","","","","","","xgc2"
"","[loop in cvtas_t_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in cvtas_t_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in cvtas_t_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"","[loop in cvtas_t_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","Int32","1","128","SSE2","","","","","","","","xgc2"
"","[loop in [MKL SERVICE]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","1","cannot compute loop iteration count before executing the loop ","","","","","","","44","44","44","84","7","","","","","0","","","","","","","","","","libmkl_core.so"
"","[loop in [MKL SERVICE]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","2","cannot compute loop iteration count before executing the loop ","","","","","","","2","2","2","21","8","","","","","0","","","","","","","","","","libmkl_core.so"
"","[loop in [MKL SERVICE]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","1.00216","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","20","20","13","98","41","","","","","0","","","","","","","","","","libmkl_core.so"
"","[loop in __intel_sse4_strcpy]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","Int32","1","128","SSE2; SSE42","","","","","","","","xgc2"
"","[loop in __intel_sse4_strlen]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","Int32","1","128","SSE2; SSE42","","","","","","","","xgc2"
"","[loop in __intel_avx_rep_memcpy]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","","","","","","","","","Int32","8","256","AVX","","","","","","","","xgc2"
"","[loop in __intel_avx_rep_memset]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","","","","","","","","","Int32","1","256","AVX","","","","","","","","xgc2"
"","[loop in __intel_ssse3_rep_memmove]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","","","","","","","","","Float32","5","128","SSE","","","","","","","","xgc2"
"","[loop in [MKL SERVICE]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","2.06486","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","0","98","6","","","","","0","","","","","","","","","","libmkl_core.so"
"","[loop in __do_global_dtors_aux]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","libmkl_core.so"
"","[loop in [MKL SERVICE]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","libmkl_core.so"
"","[loop in [MKL SERVICE]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","libmkl_core.so"
"","[loop in mm_account_ptr_by_tid]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","libmkl_core.so"
"","[loop in mm_account_ptr_by_tid]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","","","","","","","","","","0","","","","","","","","","","libmkl_core.so"
"","[loop in [MKL SERVICE]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","libmkl_core.so"
"","[loop in [MKL LAPACK]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","0.0230","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","libmkl_core.so"
"","[loop in __do_global_ctors_aux]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","libmkl_core.so"
"","[loop in __kmp_create_masks at kmp_affinity.cpp:2689]","-1","1 Ineffective peeled/remainder loop(s) present ","n/a","n/a","n/a","Scalar Versions","","","","","","","","","","1 cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","[1]","","","","","","","","kmp_affinity.cpp:2689","kmp_affinity.cpp:2689","libiomp5.so"
"","[child]-[loop in __kmp_create_masks at kmp_affinity.cpp:2689]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","218","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","1","","","","","1","","","","","","","","kmp_affinity.cpp:2689","kmp_affinity.cpp:2689","libiomp5.so"
"","[loop in __kmp_remove_signals at z_Linux_util.c:1483]","-1","1 Ineffective peeled/remainder loop(s) present ","n/a","n/a","n/a","Scalar Versions","","","","","","","","","","1 cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","[0]","","","","","","","","z_Linux_util.c:1483","z_Linux_util.c:1483","libiomp5.so"
"","[child]-[loop in __kmp_remove_signals at z_Linux_util.c:1483]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","0","0","0","0","63","","","","","0","","","","","","","","z_Linux_util.c:1483","z_Linux_util.c:1483","libiomp5.so"
"","[loop in __itt_get_env_var at ittnotify_static.c:743]","-1","1 Ineffective peeled/remainder loop(s) present ","n/a","n/a","n/a","Scalar Versions","","","","","","","","","","1 cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","[0]","","","","","","","","ittnotify_static.c:743","ittnotify_static.c:743","libiomp5.so"
"","[child]-[loop in __itt_get_env_var at ittnotify_static.c:743]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","2","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","1","","","","","0","","","","","","","","ittnotify_static.c:743","ittnotify_static.c:743","libiomp5.so"
"","[child]-[loop in __itt_get_env_var at ittnotify_static.c:743]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","ittnotify_static.c:743","ittnotify_static.c:743","libiomp5.so"
"","[loop in __itt_get_env_var at ittnotify_static.c:743]","-1","1 Ineffective peeled/remainder loop(s) present ","n/a","n/a","n/a","Scalar Versions","","","","","","","","","","1 cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","[0]","","","","","","","","ittnotify_static.c:743","ittnotify_static.c:743","libiomp5.so"
"","[child]-[loop in __itt_get_env_var at ittnotify_static.c:743]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","2","cannot compute loop iteration count before executing the loop ","","","","","","","3","3","3","3","1","","","","","0","","","","","","","","ittnotify_static.c:743","ittnotify_static.c:743","libiomp5.so"
"","[child]-[loop in __itt_get_env_var at ittnotify_static.c:743]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","ittnotify_static.c:743","ittnotify_static.c:743","libiomp5.so"
"","[loop in MPID_nem_impi_create_numa_nodes_map at mpid_init.c:192]","-1","1 Ineffective peeled/remainder loop(s) present ","n/a","n/a","n/a","Scalar Versions","","","","","","","","","","1 cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","[0]","","","","","","","","mpid_init.c:192","mpid_init.c:192","libmpi.so.12"
